,Unnamed: 0,tweets_VBN,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies,id
0,4346,Concerned with a low flying plane in the #Miami #Wynwood area? It is @miamidadeswm spraying for mosquitos #zika https://t.co/WkjgNBTCkA,,,,,,,,,,,,763371380146573313
1,6234,Worried about Zika virus? Here are the best bug sprays for travelers: https://t.co/ZOblGAapNd https://t.co/hnA6KI9pNh,,,,,,,,,,,,695559090609745920
2,5705,Call on El Salvador to protect #reprorights in the face of #ZikaVirus https://t.co/23wBPGQdZj,,,,,,,,,,,,694592514762936320
3,2083,Retweeted Christina Richardson (@clrson5):  #Zika spraying kills millions of honeybees in South Carolina... https://t.co/hpKb630qFb,,,,,,,,,,,,774540103527968768
4,5754,Took a bath in bug spray before walking to the stand and I'm getting ate up. Probably gonna end up with the Zika virus ðŸ˜‚,,1.0,,1.0,,,1.0,,,,,782530068765696000
5,2654,Learn how to protect yourself from this new #zika #virus. https://t.co/eIDjJVSDA7 https://t.co/nOTgoHFoE3 https://t.co/1ovPpW1nJO,,,,,,,,,,,,722548910343000065
6,295,Take just 2 teaspoons of 100% natural RepelZika and your entire body is protected from mosquitoes.   #RepelZikaâ€¦ https://t.co/WZkIwfO8Ll,,,,,,,,,,,,789211412920958977
7,3319,"Retweeted UNICEF (@UNICEF):  No mosquitoes, no #Zika! You can help protect your community by eliminating mosquito... https://t.co/dDrlchXffy",,,,,,,,,,,,706542432721080320
8,1080,Concerned about the Zika virus? Listen to our webinar today and learn how to protect your employees. https://t.co/Iy3p6Ve9uR,,,,,,,,,,,,751069897711431680
9,593,Updated information on how to protect yourself from #Zika https://t.co/ubOK1kEL09 https://t.co/TkhqWqdAU9,,,,,,,,,,,,750660892723908608
10,4242,Learn about recommended insect repellents to fight #Zika &amp; other mosquito-borne illnesses from @JGPharmD https://t.co/Fxckz3KaVI,,,,,,,,,,,,711947756646965248
11,6214,Concerned about #Zika? Join @CDCgov twitter chat for a Q&amp;A about how to protect yourself. Tomorrow 8â€“9 am #CDCchat https://t.co/5dhPxgzjbU,,,,,,,,,,,,697888065340112896
12,6301,@DaveTheDrone @aspiritcan @VeritasDolor @Charbrevolution I know it. Been predicting this w/b $$$ vax or spray 1st time I heard #ZikaVirus.,,,,,,,,,,,,734963320596238337
13,3586,Watch this video for ur 101 on mosquitoes! Thanks @SCJohnson https://t.co/KFLcbEME5J #mosquitoes #protection #outdoor #zika #westnile #facts,,,,,,,,,,,,765895924312932352
14,4744,Retweeted CDCChronic (@CDCChronic):  Living/ traveling to an area w/ #Zika? Remember insect repellents shouldnâ€™t... https://t.co/Wz5FpApp0k,,,,,,,,,,,,720315464845381632
15,3721,Worried about Zika? Bug spray companies &amp; scammers are counting on it. By @LindaJ_onPharma. https://t.co/vIvzkO4Ohm https://t.co/LXy3U2TPt1,,,,,,,,,,,,760945250860933120
16,2423,Love hearing this! This is one oil I'm using to help prevent any mosquitos! #bugspray #zika #EssentialOils #doterra https://t.co/5UgbIwdq6j,,,,,,,,,,,,762632115653488641
17,3635,Retweeted Regina C. Ortiz (@regcoral):  Florida to begin aerial spraying of insecticides to control Zika... https://t.co/HRwsdJrX3d,,,,,,,,,,,,760816229959409664
18,3219,Learn how to protect yourself from #Zika this summer â†’ https://t.co/uo4R7P4Y0S https://t.co/u55rnWIrRO,,,,,,,,,,,,746080731915489280
19,4570,"Please visit our Facebook page for information on, and protective measures against the Zika virus.",,,,,,,,,,,,747831113951805440
20,5471,@WinterbleShow This week my neighborhood was sprayed because of people having it (supposedly). https://t.co/x66PiGDV0p,,1.0,,,1.0,,,,,,,779092308750839808
21,6370,"Protect yourself from mosquito bites: Get rid of standing water, cover up, wear repellent, use intact screens. #Zika https://t.co/vHd1gF2HoW",,,,,,,,,,,,735489246044131332
22,2733,Protected #Nurses protect patients &amp; the public! Basic Info on the #Zika Virus | National Nurses United: https://t.co/Ud8Ips6eul,,,,,,,,,,,,693159004353069057
23,10,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWedâ€¦ https://t.co/oCYHncIpzd,,,,,,,,,,,,781222065697329152
24,5081,@FrankPallone @pallonefornj Congress leaves for 7 weeks w/o protecting US from Zika,,,,,,,,,,,,759363993219850240
25,4753,Grab the bug spray! Here's where all the Zika-carrying mosquitoes live https://t.co/5KXMfFlyLK https://t.co/EC3C6XZTYu,,,,,,,,,,,,720392391421771776
26,3400,Worried about getting the Zika virus? Here's how you can protect your family https://t.co/bOLMJAgzrn #blogginmamas @mommyinsports,,,,,,,,,,,,760507219427352576
27,888,"Aimed at Zika mosquitoes, spray killsÂ honeybees https://t.co/FovwmOqXxh",,1.0,,,,,,,,1.0,,771541527675842560
28,5061,Covered head to toe in deep wood bug spray. No zika for me. At least I hope not,,1.0,,,,,1.0,,,,,757267156514009088
29,4868,Let's keep working together to protect our community @Cityofdoral #zika #luigiboria #movingdoralforward https://t.co/Zvu4ULBDEn,,,,,,,,,,,,764111671363309568
30,2900,Planned Parenthood is connecting the dots between unprotected sex and Zika: https://t.co/TfG6LYLr4T,,,,,,,,,,,,768919629972385792
31,5829,Put on your bug spray. Read how efforts to pass additional #Zika funding broke down and what it means going forward: https://t.co/jvpFTkj7Ha,,,,,,,,,,,,756488740885835777
32,6575,"Protect yourself from ZIKA, DENGUE, MALARIA, and more with genuine BugsLockÂ® mosquito repellent bracelets. https://t.co/QkoBkHJgij",,,,,,,,,,,,751452317887574020
33,63,Retweeted Singapore Government (@govsingapore):  #Zika update: Free insect repellents for moms-to-be from... https://t.co/xYqkq8WXZZ,,,,,,,,,,,,775873574884126720
34,4702,Call TCLI today to protect your family from mosquitoes! (631) 271-TREE New York Ranks 2nd in Cases of Zika Virus https://t.co/PtQuqmrjku,,,,,,,,,,,,719609711834898433
35,5235,"Retweeted WHO (@WHO):  Dr Chan: Pregnant women can consider delaying travel to #Zika-affected areas, shld protect... https://t.co/Js6hYeT3p9",,,,,,,,,,,,694234275462316032
36,4541,Learn what you can do to protect yourself and others from #zika: https://t.co/LzFJTXebJW https://t.co/laAkda8Tmv,,,,,,,,,,,,761666535953956864
37,3428,Worried about #zika?  #herbs that  #repelmosquitoes  https://t.co/XT6fwZwwXz,,,,,,,,,,,,760607239107403776
38,5186,Protect yourself with my all natural insect repellent! #ZikaVirus #zikastuff2016 #mosquito #malaria #dengue,,,,,,,,,,,,699005649221480448
39,5537,Want to Stop Zika &amp; Dengue? Do this:  4. Keep drains clear 5. Wear long sleeves in outbreaks areas 6. Use certified insect repellents,,,,,,,,,,,,694903072720486400
