Unnamed: 0,tweets_VB,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
1494,"do you believe Zika causes birth defects, or spraying? https://t.co/UqNNdjQCGO",,,,,,,,,,,
661,Please do your part to protect our community from #westnilevirus. Dump standing water wherever you see it. #WNV… https://t.co/3cnB168fGS,,,,,,,,,,,
895,"Take precautions, use repellents. Cases of Zika, Dengue and Chikungunya Increase to 35.000 in #Honduras https://t.co/sEbjvvXunL #dengue",,,,,,,,,,,
448,Save the bees! Zika spray goes wrong Information and Education by Nita Mae - GoFundMe https://t.co/KuMu0pMKdx,,,,,,,,,,,
2350,Watch this CDC video on how to protect yourself against Zika. https://t.co/L8SwXs1Ok0,,,,,,,,,,,
1490,Be sure to check @ConsumerReports insect repellent ratings when protecting yourself against #Zika https://t.co/vUWTHQ7aM2,,,,,,,,,,,
3161,Learn how to protect yourself and others from Zika @CDCgov #ZikaVirus https://t.co/TF3tXePy0u,,,,,,,,,,,
1853,Protect yourself from mosquito bites with these 3 effective repellents: https://t.co/wmdWE2j8Jv #Zika via @Healthy_Child,,,,,,,,,,,
1509,See: Spike in sales of mosquito repellent products amid Zika concerns https://t.co/gbwnuofOFy https://t.co/uXqcNDkGf3,,,,,,,,,,,
2627,Love to see our WA own Senator @PattyMurray at the front of this issue to protect unborn children from #Zika in USA https://t.co/sZgM5rdwm9,,1,,,,,,,,,
1017,"Do you ever wonder why the gov't isn't putting more money into fighting Zika? Hmm, and yes, the spray will affect the Eco-system &amp; residents",,1,,,,,,,,1,
1797,"Protect yourself from#Zika virus- use repellants on trips to risk areas. Day time biting mosquito, use DEET and Permetherine .",,,,,,,,,,,
2671,"Let them eat cake...and have two cans of insect repellant, but NO contraception or abortion access! #Texas #Zika https://t.co/ulUl6FizMe",,1,,,,,,,,,
3843,.Take Your questions about the virus zika and know how to protect themselves when traveling https://t.co/MU1zklW9Ld,,,,,,,,,,,
2766,See Dr. Gondy talk #zika protection for #pregnant women in the valley via @8NewsNow https://t.co/3Br8HkDRSY,,,,,,,,,,,
3000,Check this out @2kewlabs @Dragonsnestling @BrashleyDebbie @akazeeox TVs that repel Mosquitoes!! #ZikaVirus https://t.co/rYnPh8dhFb,,,,,,,,,,,
2668,Protect yourself from Zika! Wear protective clothing &amp; use approved repellents when outside. #Zika #ProtectYourself https://t.co/hqgiNmK6uo,,,,,,,,,,,
3396,Leave it to dancehall to come up with a zika song. Shout out to the pregnant ladies protect yourself and your babies..,,1,,,,,,,,,
9,Protect yourself from #Zika: Cover up and use insect repellent. Remove standing waters. Use condoms. #WellnessWed… https://t.co/oCYHncIpzd,,,,,,,,,,,
1489,Take steps to help protect yourself and others from #Zika infection! https://t.co/L2nJTsnfQn #DrainAndCover https://t.co/AmVzUh7wi2,,,,,,,,,,,
240,"Damn it!  #Zika in #Nebraska!  Stay safe, use mosquito repellent! We need more #bats! https://t.co/CGaDprKZj7",,1,,,,,,,,,
2011,Keep bugs (including mosquitoes) away with these 9 plants! https://t.co/pUe5dJBONC #zika #plants #bugrepellant #atx https://t.co/K1td29CiO8,,,,,,,,,,,
1902,Learn how to protect yourself from Zika. #DCOHealth #Zika2016 https://t.co/Wr6IgiMbaI,,,,,,,,,,,
517,See which parts of #Queens will be sprayed this week to reduce the Zika virus threat https://t.co/nkjLnLM6Jr https://t.co/wLHyYXYpXi,,,,,,,,,,,
145,Do all you can to protect your loved ones from ZikV . #LatePost #Portmore #Jamaica https://t.co/kOsGFPs8ZB,,,,,,,,,,,
3294,Protect yourself and your unborn child from the Zika virus. Use EPA-approved repellents any time you are outside. https://t.co/Zv8w7h9rhQ,,,,,,,,,,,
2281,Be sure to put on bug spray.  10 more people have gotten the Zika virus locally in South Florida. https://t.co/SQU6xMkkGw,,,,,,,,,,,
3064,"Be careful Miami, Zika. Long sleeves, no standing water, repellent, some measures... https://t.co/kq4lssR5XC",,,,,,,,,,,
3103,Take a look around your property &amp; #DrainandCover to help protect yourself and prevent #Zika https://t.co/zpIYLvvYQq,,,,,,,,,,,
2882,Reduce your #Zika risk: wear insect repellent &amp; cover exposed skin. Please retweet. https://t.co/EXjQTtfPgw,,,,,,,,,,,
3930,Let's get busy to protect moms&amp;babies from#Zika https://t.co/ijs3Vvk6xG,,,,,,,,,,,
768,Break out the bug spray...this seems like an augury of the Zika-ridden future. https://t.co/JV7qZN7oju,,,,,,,,,,,
3564,Learn about microcephaly and how you can protect yourself against #Zika during #pregnancy on the Pregnancy Podcast! https://t.co/I1Tb2uKdvv,,,,,,,,,,,
1351,"Break out the bug spray Millburn, Zika's in N.J.: With mosquito season here, town and county officials are adv... https://t.co/7qCoWfD7Ol",,,,,,,,,,,
2347,"Send this letter urging #Congress to protect #women, babies &amp;families &amp; pass emergency #ZikaVirus funding!--&gt;https://t.co/LJqxjHjoJd",,,,,,,,,,,
4031,Find out what you can do to protect your family from #Zika via .@CDCgov https://t.co/vBDKs6QVvJ https://t.co/MGE9Dm6v0u,,,,,,,,,,,
2715,Learn what you can do to help protect yourself and your home from mosquitoes. #BocaRaton https://t.co/PpKX5N2zoS https://t.co/APSM2kZHCt,,,,,,,,,,,
737,Read the latest Miami Beach #Zika update https://t.co/EUMG95ZD9k  #FightTheBite #DrainAndCover #ZikaVirus #mosquito #spraying #MiamiBeach,,,,,,,,,,,
1840,"Let’s build a world where every child can grow up healthy, educated and protected from harm #thisability #ZikaVirus via @UNICEF",,,,,,,,,,,
3338,"Please inform yourselves on the Zika virus. As always, take proper precautions such as using repellant, long... https://t.co/Kdl39cQ67I",,,,,,,,,,,
100,Place your orders for SSS. CDC approved for protection against the Zika Virus. 8439000205 ext115 #avon #zikavirus https://t.co/IfkiOtpy7I,,,,,,,,,,,
1118,Let's build a world where every child can grow up healthy and protected from harm #thisability #ZikaVirus v/@unicef https://t.co/bKZlKRBZsd,,,,,,,,,,,
1946,"Ask the CDC to use organic larvicide Bti, instead of NeuroTOXIC  #Naled for #Zika spraying in #Wynwood #Miami  https://t.co/IUnCsw7Zmv",,,,,,,,,,,
1726,Please educate yourselves and your families about this dangerous virus. Wear bug spray. #ZikaVirus  https://t.co/MiESkBZTNT,,,,,,,,,,,