Unnamed: 0,tweets_pronouns,Notes,FP,Observe mosquito,Mosquito Bite,Observe spraying,General spraying observation,Spraying for self,Spraying for someone else,Other kind of intervention,Environmental consequences,Conspiracies
13314,"COMMENTARY: Texas acting to protect unborn from Zika: Over the past month, my office has seen an increase in ... https://t.co/rwmhFkSBFC",,,,,,,,,,,
8240,Bee-pocalypse: What lessons did we learn from Zika spraying? https://t.co/bOmf548Yvz,,,,,,,,,,,
769,Get our free white paper on protecting your employees from the Zika virus - at home and when traveling.. https://t.co/XIWgQ0KMAz,,,,,,,,,,,
14872,Zika is a mosquito born disease and we make repellent for that protected species. We should make DDT and eradicate the species.,,1,,,,,,,,,
30020,"Y'all, this sh*t is for real. Wear bug spray this weekend &amp; read our #Zika Q&amp;A @austinwoman https://t.co/1dhwHnOYY3  https://t.co/0sU9f1sg9X",,1,,,,,,,,,
4652,We're still learning more about the effects of #Zika. Make sure you are protected https://t.co/kfDTrykPqW @KHNews https://t.co/Nuvzq6lp6C,,,,,,,,,,,
23179,@grist They can't spray me or my air in #TheOC #California USA. I can't breathe #pesticides.  Chemicals are not the answer to #Zika! @UF,,1,,,1,,,,,,
16988,Not seeing as many Zika related insect repellents at Outdoor Retailer as I expected.,,1,,,,1,,,,,
4029,"I understand the need to control mosquitoes, but blanket spraying poison from the air WILL have consequences. :( https://t.co/z8VFc036rg",,1,,,,,,,,,
22955,#Summer is upon us &amp; #Zika is a growing concern. Watch @TODAYshow's segment on which mosquito #repellent works best https://t.co/ffgWzns53I,,,,,,,,,,,
7140,Learn how you can protect you and your family from mosquitoes and Zika Virus with our mosquito treatment options: https://t.co/LVokmx83RM,,,,,,,,,,,
29001,So is it wrong for me to buy stocks that make bug spray?  $SPB #ZIKA gonna be bad me thinks 😳 Anyone booking Caribbean trips this summer?,,1,,,,,,,,,
28958,Watch @DrJayVarma talk about our efforts to protect NYC from #Zika on @ABC7NY’s Up Close: https://t.co/HH7bHsFdpO https://t.co/mo6ElKBovo,,,,,,,,,,,
8737,"My grandma just called me and said, “Please don’t you girls have unprotected sex in Florida. The Zika virus is really bad down there.” ………ok",,1,,,,,,,,,
783,Just had a @WhatsApp fight with some in my mommy group over #zika virus and use of mosquito repellent in kids. My #Brazil life.,,1,,,,1,,,,,
29684,"To my friends in warmer climates: #1 Right now, I am jealous ..lol #2 Don't go unprotected from the #Zika virus!... https://t.co/5oOlBEIXvz",,1,,,,,,,,,
6600,@elliehunterr no it does not. Well I hope that each athlete's 42 condoms protects them from Zika and that the swimmers don't die,,1,,,,,,,,,
1675,would it help if i use insect repellent for zika virus cos im fuckin terrified 😕,,1,,,,1,,,,,
6121,we can't have funding to protect us from the Zika virus. Why? Because the GOP is nothing but asses. #GOPObstructionists,,1,,,,,,,,,
31517,"CDCgov: Learn how CDC is working to protect your health in our new video 'Zika Virus 101,' w. Dr. Anne Schuchat. https://t.co/pVxddUD73h",,,,,,,,,,,
7135,Senate Republicans are refusing to deal w threat of the #ZikaVirus . We need funding now to protect public health... https://t.co/JfQOkbGboN,,1,,,,,,,,,
29731,@Randiii__ I was thinking the same except change vodka for intravenous drugs and bbq for unprotected sex. Wait I might have zika...,,1,,,,,,,,,
31167,"“We want to combat Zika,' an activist says, but not by spraying Naled. https://t.co/JvCNQgUcfH https://t.co/XqMmi3W4lI",,,,,,,,,,,
4317,I might cry this is so horrible #SaveTheBees 😥🐝⚡️ “Millions of honeybees dead from Zika insecticide spray in S.C. ”  https://t.co/klvDKMuz3T,,1,,,,,,,,1,
2766,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/UsYUK7bWA0 by @CNN via @c0nvey,,1,,,,,,,,1,
32200,"@KeithLeventhal Also, once you get Zika you're likely protected from getting it again. Third, I only play one on TV!",,1,,,,,,,,,
22989,@BoabAlmighty Some times the rules of the job change.. Zika is a threat we had not imagined. We must protect babies &amp; women from abuse,,1,,,,,,,,,
5182,"Thanks UK, I penned letter to Ky Senators &amp; Reps urging them lead efforts to protect Kyians from growing Zika threat https://t.co/h8Qns9lPRb",,1,,,,,,,,,
23204,First words my dad said to me when I got off the plane: Put on this mosquito repellent before you give us the Zika virus!!!!,,1,,,,,1,,,,
32438,9 new Zika cases in Florida reported today. I sprayed on Skin So Soft. I'm going to use it daily. Mosquitoes hate... https://t.co/3THtGqaEqG,,1,,,,,1,,,,
32049,@NBCNewsHealth Zika bug spray: I don't think it's enough. Not trying to scare anyone. Hoping for other meds &amp; possible vaccine.,,1,,,,,,,,,
17451,Reducing or eliminating #mosquito breeding is something we can all do now to help protect ppl before local transmission of #Zika. #DSHSGR,,1,,,,,,,,,
14009,The Zika virus: Let us spray https://t.co/EVHBdFoSNy via @TheEconomist,,,,,,,,,,,
33257,Sucked up as much info as I could on a years-old mosquito spraying fight now latched onto Zika/CR deal: https://t.co/RK70hAoAYK @CQNow,,1,,,,,,,,,
18379,"#ZIKA Thus the African, Asian, Arabic, ME Jewish populations with possible immunity to the 'old' Zika will not be protected against Zika+",,1,,,,,,,,,
2260,I learned a couple things in the past couple weeks. 1) Fresh Catnip is a great mosquito repellent. Zika can kiss... https://t.co/9JdsHv0bgt,,1,,,1,,,,,,
12586,@AdamNeira Here in SC we have been spraying since first Zika announce. Hasn't helped. We now have #Zika.,,1,,,,,,,,,
7769,@ChrisMurphyCT you had a chance to protect us from #Zika but chose to vote the bill down #takeresponsibility,,,,,,,,,,,
22673,Many have asked if our #Avon Bug Guard products protect against the Zika virus. The best way to prevent diseases... https://t.co/wKSM9LV1wr,,,,,,,,,,,
20841,@Terminix how do we protect our children the zika virus? #MosquitoWeekChat,,,,,,,,,,,
5076,"@clivecookson Hi Clive, are you interested in a briefing next wk Weds-Fri in London on a Zika repellent? Nootkatone... I will email!",,,,,,,,,,,
4417,Can wearing perfume help ward off mosquitos and protect us from Zika? https://t.co/lEbaz4EYRC https://t.co/3lyMttv0K6,,,,,,,,,,,
2987,Flavivirus news: Bee-pocalypse: What lessons did we learn from Zika spraying? - NBC2 News: NBC... https://t.co/aJEDtf0g9H #pathogenposse,,,,,,,,,,,
31250,"UN and Permission from OBAMA to spray 4 global warming so, why R we sick in USA from weaponized ZIKA, Tuberculosis,… https://t.co/cRa0114GJ2",,,,,,,,,,,
2337,"Our no-nonsense guide to Zika: How to protect yourself &amp; your crew on the jobsite, &amp; your partner at home. https://t.co/dMxuMS8I2x",,,,,,,,,,,
3942,"As I was parking my car, the cops and health department had just started spraying for Zika in the neighborhood, all while blaring their horn",,1,,,,1,,,,,
3853,"So, mosquito killer spray also kills HONEYBEES??  You know, those POLLINATORS of our FOOD PLANTS?!?!  https://t.co/nyW4cU1Rym",,1,,,,,,,,1,
4012,@LisaSalvadorini we spray pesticides to kill mosquitos in fear of Zika what about collateral damage of all other insects? Not best solution,,1,,,,,,,,1,
20798,"@SenJeffMerkley Not certain cause is from Zika mosquitoes. Linked to pesticides, GMO, etc. Big pharma wants tax $, protect us from them 1st!",,1,,,,,,,,,1
18032,Nervous about this Zika virus because of my upcoming trip Saturday to the Caribbean . I'll be doused with bug spray,,1,,,,,1,,,,
2579,I mean....hasn't EVERY summer olympics had an official bug spray? #Zika #Rio2016 #WelcomeToHell https://t.co/kVuuc4wYOu,,1,,,,,,,,,
21212,"MT @LizSzabo https://t.co/VM0k3EQT7F what I did 2 reduce Zika in neighborhood, protect pregnant friend https://t.co/ivnScvWpfW  #zikachat",,,,,,,,,,,
14442,".@WhiteHouse urges swift action on a #Zika emergency supplemental to protect Americans. We must act, @SpeakerRyan. https://t.co/bm1UOPa49v",,,,,,,,,,,
14360,@SueByrneHealth I saw your story on best repellants for Zika. Do u know any orgs providing to women in affected area that I can donate to?,,,,,,,,,,,
15103,"Zika doesn’t take a vacation. @RoyBlunt, act NOW to approve the emergency funding we need to protect our health! #StopZika",,,,,,,,,,,
28441,"That's why I thought it strange that the great @gordonkeith said #Zika couldn't touch him, even in unprotected sex. https://t.co/YuYL70DET1",,1,,,,,,,,,
15683,@MO_MIAMI I am staying in sept. I have been hearing Zika virus warnings. Do the hotel take any steps to repel insects in the grounds? TIA,,1,,,,,,,,,
3211,"Knock out mosquitoes and Zika naturally!  No Deet.  With our Bug Off! spray, stick, or soap.  Now-noon make the... https://t.co/6173UchDmm",,,,,,,,,,,
7541,I made it the whole entire ass summer without a single solitary bite. I was spraying OFF every damn day. No Zika for me.,,1,,,,,1,,,,
3044,@CDCgov tweeted at me months ago saying aerial spraying is safe. I call bullshit once more. https://t.co/DnDoFbbJKn,,1,,,,,,,,,
3834,Aahhhh so spraying to kill zika mosquitos has killed millions of honey bees we are BAD shame on us and what we've become,,1,,,,,,,,,1
32728,Leave to Fla in 10 days and with Zika virus guess I'll be lathering both sunscreen and Off repellent before heading out. Should smell great.,,1,,,,,1,,,,
16327,i need bug spray I'm not tryna get the zika virus,,1,,,,,1,,,,
14480,"From Zika and malaria to cancer, how wearables can protect and even treat us https://t.co/QfD7dtqQnm",,,,,,,,,,,
20497,And the poison is being sprayed! #Zika #Hoax @acls9_9 @TriciasFamily Mosquito control just passed my house...,,1,,,1,,,,,,
25749,#MosquitoesMustFall The Zika virus: Let us spray https://t.co/pAj1fegD3j via @TheEconomist,,,,,,,,,,,
6330,"since the cases of Zika virus,everywhere i go i smell insect repellent .",,1,,,1,,,,,,
2759,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/jUsZBN8Kwh by @CNN via @c0nvey,,,,,,,,,,,
2992,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/3TQLgzKnyL by @CNN via @c0nvey,,,,,,,,,,,
14498,"@Maxinflation I'm not sold on #zika either, but at start of #mosquito season in #Texas, I'm planning to protect preg friends just in case.",,1,,,,,,,,,
8378,mum making me put insect repellent everywhere i go bc of zika,,1,,,,,1,,,,
2807,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/rYpVH45tj6 by @CNN via @c0nvey,,,,,,,,,,,
15085,@1BoMania lmao I just heard that It repels mosquitos I'm tryna cop some to avoid this Zika thing lol,,1,,,,,1,,,,
18542,Pretty sure I am spending my entire night getting repeatedly bit by mosquitoes pumping more &amp; more zika virus into me,,1,1,1,,,,,,,
18462,I'm much more confident in the US constitution protecting us from either presidential candidate than the US Gov't protecting us from Zika.,,1,,,,,,,,,
4097,Yikes! Mkes me appreciate Carlisle's resistance to spraying. Zika spraying kills millions of honeybees @CNN https://t.co/FgYFVgjK9S,,1,,,,,,,,,1
27355,"I got 'bitten' by mozzies THREE times today. So if y'all don't hear from me, it's the #Zika. Or the Skintastic I sprayed all over my body.",,1,,1,,,,,,,
1002,Pray for me I forgot to put on mosquito repellent and we got Zika out here 😳😭,,1,,,,,,,,,
22677,I know they seem like a good idea but mosquito repellent wrist bands just don't work https://t.co/bWa4QR7CZG #ZikaVirus,,1,,,,,,,1,,
25858,@jk_rowling I hope the protection against insects on Castelobruxo is a strong one. Because we are suffering a lot because of the Zica Virus.,,1,,,,,,,,,
10574,Is there truly a way to protect from Zika? Unless you close all borders I don't believe you can prevent the spread of the virus.,,1,,,,,,,,,
28708,@DhesiMD i guess they should start spraying aerosol at the countries badly affected by zika or planting the plants that shoo away mosquitoes,,1,,,,1,,,,,
27509,In other news if anyone's concerned about getting zika or dengue just take me around with you. 27 bites. On my left leg alone. And I sprayed,,1,1,1,,,1,,,,
6225,@Zika_News I pray that the country gets all the help they need to protect the people who lives there. God bless you'll !,,1,,,,,,,,,
25162,We can protect ourselves from Zika: Most people with the Zika virus have either no symptoms or mild disease. ... https://t.co/6B4sPAj1Y7,,,,,,,,,,,
4228,South Carolina killed millions of bees while spraying for Zika mosquitos. My state is so trash it's ridiculous.,,1,,,,,,,,,1
4850,#Zika  I live in So. Florida . We have a bad breakout. They are spraying right now. Contacted the CDC. Actually got immediate response.💐🌸🌟,,1,,,1,,,,,,
30261,I had to spray bug repellent on my underwear (and every other article of clothing I have) so I won't get Zika or Dengue. 🙃,,1,,,,,1,,,,
23158,Zika virus~conquer your fear with a good mosquito repellant. But no deet~I use a great herbal spray~Deet makes my lips numb~,,1,,,,,1,,,,
2227,@captrgutz Mosquito repellant for days! I'm legitimately concerned about zika; going to be taking every precaution.,,1,,,,,1,,,,
8545,#AceNewsReport More Mosquitoes With Zika Found in Miami Beach: Aerial insecticide spraying i... https://t.co/CqO6igVatf @AceNewsServices,,,,,,,,,,,
14687,Did u say Mr. Pres. has the floor? He is hoping lots will die from ZIKA virus. He's protected doesn't care about us https://t.co/coLAUILBUS,,1,,,,,,,,,
8633,@EricTrump. Foul odor coming from the direction of Pensacola last night. And I thought it was from the Zika spraying. #BasketOfDeplorables,,1,,,,,,,,,
9569,Do you know all the ways #Zika virus can be transmitted? Listen to our webcast to learn how to protect employees https://t.co/XEKANy1zA1,,,,,,,,,,,
10359,If you suspect a product is being falsely marketed as mosquito repellent/protection against Zika contact my office:  https://t.co/fVO85BMLlA,,,,,,,,,,,
18798,Zika virus: Will condoms and repellent be enough to protect our athletes in Rio?: As the World Health Organis... https://t.co/azi32hUtKG,,,,,,,,,,,
20925,I was too cool for bug spray; now I have Zika - https://t.co/RLxIa1gAA7 via https://t.co/biZt0qCKpI,,,,,,,,,,,
4128,We must protect pregnant women from the Zika virus https://t.co/NHAnYNMv7m,,,,,,,,,,,
22975,It takes everyone to protect our next generation. Please help to control mosquitoes and stop the spread of Zika. https://t.co/8g2lZjuB7n,,,,,,,,,,,
16127,Zika FAQ: I'm pregnant. What steps should I take to protect myself? https://t.co/oFN0VLkW4G https://t.co/iyCWATCf6d,,,,,,,,,,,
9364,How you gonna invite me to a bbq and not have mosquito repellent like zica out her that shit not playing,,1,,,,1,,,,,
24734,DDT why are we neglecting something that protects us from infected mosquitos like malaria zika west nile  etc. #DDT #Zika @GOP,,1,,,,1,,,,,
20043,Got this f**ker  I am NOT getting Zika tooooday Nope  I guess I'll be spraying repellant before every shift from now on  Ugh,,1,1,,,,1,,,,
26018,If Zika and Guillian-barre syndrome are related  Tomorrow self I buying a bottle of insect repellant and a insect lamp,,1,,,,,1,,,,
2585,Help us #ZAPzika by signing our petition to Congress. Just a minute of your time can help protect moms &amp; babies https://t.co/HZqTlivLCr,,,,,,,,,,,
16474,That Zika virus. Shower in holy water and get dipped in bug repellent and I'll be over there hooping too  https://t.co/5wRzGmCoBj,,1,,,,,,,,,
27052,"@PatrickGregry Thus African, Arabic, Persian, ME Jewish populations with possible immunity to 'old' Zika will not be protected against Zika+",,,,,,,,,,,
29659,"Spraying for Zika worries me some. We have had 1sthand experience of house spraying and although we will never know,had 2 very sick children",,1,,,,,,,,,
6810,"I better bring my mosquito repellent, for my coming trip to Chile, Argentina, and Uruguay. Better safe than sorry with the Zika virus!",,1,,,,,1,,,,
1905,I haven't seen any tweets about this but S. Carolina sprayed for mosquitos w/ Zika but ended up killing millions of bees in the process,,1,,,,,,,,1,
2729,'Stop. This is crazy... We can't live without these honeybees': Zika spraying kills... https://t.co/dhAYnZ31eP by @CNN via @c0nvey,,,,,,,,,,,
21956,"Sportando: DeMarcus Cousins on Zika virus: 'I feel protected by God, I'm not going to run around in fear': Co... https://t.co/U1zdTGeb8t",,,,,,,,,,,
949,If @blackkhannah goes to the Olympics I'm going to go with her and be in charge of spraying her with bug spray #ZikaVirus,,1,,,,,,1?,,,
27454,@tradeshowwendy I sure hope my state sprays this year to kill them .. I'm worried about the  Zika virus,,1,,,,1,,,,,
4613,Bee-pocalypse: What lessons did we learn from Zika spraying? - https://t.co/69fg2nJI0S #GoogleAlerts,,,,,,,,,,,
6141,"The talk of Zika treatments, Zika funding, Zika mosquito spraying has us beekeepers all… https://t.co/K3uPh3f0x4",,,,,,,,,,,
11346,"Our #Bodybutter is packed w/ 5 moisturizers, essential oils and CDC recommended all natural non toxic #Zika protect https://t.co/EZK4OA0rtP",,,,,,,,,,,
24191,How will this be handled @SpeakerRyan @realDonaldTrump to protect our Country from #Zika??  https://t.co/nfftor3fb5,,1,,,,,,,,,
21249,@jimcramer @aptedjb1 We've had a noticeable lack of bees and butterflies in ATL this yr. I think it has to do w/ Zika-related spraying.,,1,,,,,,,,1,
5610,This week I urged @DeptofDefense to use the @910AW and its aerial spray capability to combat the spread of #Zika. https://t.co/I5Id2NKAxI,,1,,,,,,,,,
3961,"Sedihnya tengok video baby yang kena Zika tu. May Allah protects all of us, especially the preggers 😞",,1,,,,,,,,,
2276,I just combatted #ZikaVirus with 8 cents worth of bug spray.,,1,,,,,1,,,,
18057,"@SenSchumer has a 3-Point plan to attack #ZikaVirus; Build a firewall to protect U.S w. help of #NIH, #CDC &amp; #USAID https://t.co/SS3O1oJRKM",,,,,,,,,,,
5970,Our founder added #Natural #Zika repellent to #haircare #skincare products https://t.co/PgnFI4HlWp  #jazz #model https://t.co/6NU5kPQ2D3,,,,,,,,,,,
14662,"Zika doesn’t take a vacation. @RepKayGranger, act NOW to approve the emergency funding we need to protect our health! #StopZika",,,,,,,,,,,
2209,Make sure you have protection from Zika - we have products that will keep mosquitoes away. https://t.co/4wNtVuZjSl,,,,,,,,,,,
20886,@YourAnonNews i wish you could spread some awareness on how Monsanto wants to spray chemicals to stop ZIKA without our consent.   help?,,1,,,,,,,,,1
9440,"'We cannot spray our way out of #Zika. We have to engage our community and partners,' @ushahmd. #BakerHealth",,,,,,,,,,,
18609,my mother is terrified that I'll get the Zika virus and so she made me wear a mosquito repellent patch,,1,,,,,,,1,,
